building,date,kBtu
Building 006,2015-04-01T04:00:00.000Z,19028.83145947208
Building 006,2015-05-01T04:00:00.000Z,19068.412302416047
Building 006,2015-06-01T04:00:00.000Z,21700.365021394475
Building 006,2015-07-01T04:00:00.000Z,21396.31385746719
Building 006,2015-08-01T04:00:00.000Z,21260.57852208831
Building 006,2015-09-01T04:00:00.000Z,14991.066833659943
Building 006,2015-10-01T04:00:00.000Z,16785.656793312468
Building 006,2015-11-01T04:00:00.000Z,15524.275723595381
Building 006,2015-12-01T05:00:00.000Z,14719.045102028444
Building 006,2016-01-01T05:00:00.000Z,12906.055509833557
Building 006,2016-02-01T05:00:00.000Z,11872.174888933443
Building 006,2016-03-01T05:00:00.000Z,14167.177939214891
Building 006,2016-04-01T04:00:00.000Z,11451.01731808738
Building 006,2016-05-01T04:00:00.000Z,10597.20803608999
Building 006,2016-06-01T04:00:00.000Z,9847.430516701705
Building 006,2016-07-01T04:00:00.000Z,11700.824984044917
Building 006,2016-08-01T04:00:00.000Z,10933.47698253114
Building 006,2016-09-01T04:00:00.000Z,6639.985648670504
Building 006,2016-10-01T04:00:00.000Z,5526.936517599206
Building 006,2016-11-01T04:00:00.000Z,6872.724076108464
Building 006,2016-12-01T05:00:00.000Z,6538.235926385631
Building 006,2017-01-01T05:00:00.000Z,28303.7148465645
Building 006,2017-02-01T05:00:00.000Z,33667.50083561948
Building 006,2017-03-01T05:00:00.000Z,29064.6224307458
Building 006,2017-04-01T04:00:00.000Z,33940.5728244457
Building 006,2017-05-01T04:00:00.000Z,27802.130026498802
Building 006,2017-06-01T04:00:00.000Z,33203.5502316961
Building 006,2017-07-01T04:00:00.000Z,34585.4675931016
Building 006,2017-08-01T04:00:00.000Z,27211.8295239725
Building 006,2017-09-01T04:00:00.000Z,22789.6939674749
Building 006,2017-10-01T04:00:00.000Z,2262.2499027453
Building 006,2017-11-01T04:00:00.000Z,0
Building 006,2017-12-01T05:00:00.000Z,0
Building 006,2018-01-01T05:00:00.000Z,30658.0925734035
Building 006,2018-02-01T05:00:00.000Z,0
Building 006,2018-05-01T04:00:00.000Z,9071.17853159635
Building 006,2018-06-01T04:00:00.000Z,0
Building 006,2018-07-01T04:00:00.000Z,0
Building 006,2018-08-01T04:00:00.000Z,0
Building 006,2018-09-01T04:00:00.000Z,0
Building 006,2018-10-01T04:00:00.000Z,0
Building 006,2018-11-01T04:00:00.000Z,0
Building 006,2018-12-01T05:00:00.000Z,0
Building 006,2019-01-01T05:00:00.000Z,0
Building 006,2019-02-01T05:00:00.000Z,0
Building 006,2019-03-01T05:00:00.000Z,0
Building 006,2019-04-01T04:00:00.000Z,0
Building 006,2019-05-01T04:00:00.000Z,0
Building 006,2019-06-01T04:00:00.000Z,0
Building 006,2019-07-01T04:00:00.000Z,0
Building 006,2019-08-01T04:00:00.000Z,0
Building 006,2019-09-01T04:00:00.000Z,0
Pocomoke Building,2014-10-01T04:00:00.000Z,279106.85720591585
Pocomoke Building,2014-11-01T04:00:00.000Z,325025.8057933566
Pocomoke Building,2014-12-01T05:00:00.000Z,345747.3230098908
Pocomoke Building,2015-01-01T05:00:00.000Z,364209.2274887968
Pocomoke Building,2015-02-01T05:00:00.000Z,359521.6807099808
Pocomoke Building,2015-03-01T05:00:00.000Z,356077.9887127955
Pocomoke Building,2015-04-01T04:00:00.000Z,292396.05588343216
Pocomoke Building,2015-05-01T04:00:00.000Z,296159.1498697338
Pocomoke Building,2015-06-01T04:00:00.000Z,285555.8078119881
Pocomoke Building,2015-07-01T04:00:00.000Z,288204.134985571
Pocomoke Building,2015-08-01T04:00:00.000Z,286410.98189898743
Pocomoke Building,2015-09-01T04:00:00.000Z,280049.00369969045
Pocomoke Building,2015-10-01T04:00:00.000Z,296235.89149504533
Pocomoke Building,2015-11-01T04:00:00.000Z,309470.7368733955
Pocomoke Building,2015-12-01T05:00:00.000Z,329542.59915586835
Pocomoke Building,2016-01-01T05:00:00.000Z,364700.20030481834
Pocomoke Building,2016-02-01T05:00:00.000Z,331813.81272094505
Pocomoke Building,2016-03-01T05:00:00.000Z,292314.5471622079
Pocomoke Building,2016-04-01T04:00:00.000Z,259789.09948284307
Pocomoke Building,2016-05-01T04:00:00.000Z,273176.39646927745
Pocomoke Building,2016-06-01T04:00:00.000Z,272408.90242668195
Pocomoke Building,2016-07-01T04:00:00.000Z,293575.94372507604
Pocomoke Building,2016-08-01T04:00:00.000Z,300874.9504986401
Pocomoke Building,2016-09-01T04:00:00.000Z,282937.01449602627
Pocomoke Building,2016-10-01T04:00:00.000Z,292476.1890527279
