State,Abbreviation,Region,Biomass,Geothermal,Solar,Wind,Hydro,HPS,Coal,Petroleum,Gas,Nuclear,Other,RE Generation (MWh),RE Generation (MWh),Total Generation (MWh),of Total Generation,of Total Generation,Petroleum,Gas,Coal,Nuclear,Hydro,Renewables
Nevada,NV,West,890.379,1616677.006,150858.353,0.0,2446364.86,0.0,7507243.918,17727.303,26080001.098999996,0.0,0.0,1768425.738,4214790.597999999,37819762.918,0.04675930258564187,0.11144413060278612,17727.303,26080001.098999996,7507243.918,0.0,2446364.86,1768425.738
New Hampshire,NH,New England,1089622.8429999999,0.0,0.0,28465.641,1580927.82,0.0,2885668.409,171817.887,5352727.7,8816673.0,59853.775,1118088.484,2699016.304,19985757.075,0.05594426469831391,0.1350469884063674,171817.887,5352727.7,2885668.409,8816673.0,1580927.82,1118088.484
New Jersey,NJ,Mid Atlantic,914529.032,0.0,2437.768,19149.957,37117.462,0.0,5345448.687000001,304336.205,21037563.922000002,34327954.0,513761.49500000005,936116.7570000001,973234.219,62502298.52800001,0.014977317299469155,0.015571174851497773,304336.205,21037563.922000002,5345448.687000001,34327954.0,37117.462,936116.7570000001
New Mexico,NM,West,17433.377,0.0,0.0,1543715.0,300872.879,0.0,29084698.519,43480.153000000006,8759510.203000002,0.0,4370.774,1561148.377,1862021.256,39754080.904999994,0.039270141365628945,0.04683849339768808,43480.153000000006,8759510.203000002,29084698.519,0.0,300872.879,1561148.377
New York,NY,New York,2081064.2559999998,0.0,0.0,2258904.412,28317958.103,-480387.0,13152552.412999999,2717385.9530000007,42954140.66000001,43484614.0,989616.0499999999,4339968.668,32657926.770999998,135475848.84700006,0.032034998894167124,0.24106087578666732,2717385.9530000007,42954140.66000001,13152552.412999999,43484614.0,28317958.103,4339968.668
North Carolina,NC,Southeast,2019958.579,0.0,2321.627,0.0,4921505.283,43077.0,65853977.655999996,287979.16000000003,4926167.053,40847711.0,90997.474,2022280.206,6943785.489,118993694.83199996,0.0169948517764335,0.058354230438877566,287979.16000000003,4926167.053,65853977.655999996,40847711.0,4921505.283,2022280.206
North Dakota,ND,Midwest,8453.34,0.0,0.0,2756288.9899999998,1475251.0,0.0,29812958.594000008,48076.189999999995,756.755,0.0,838.257,2764742.3299999996,4239993.33,34102623.125999995,0.08107125131650496,0.12433041629479258,48076.189999999995,756.755,29812958.594000008,0.0,1475251.0,2764742.3299999996
Ohio,OH,Mid Atlantic,599703.453,0.0,0.0,15473.601,498108.57999999996,0.0,113824220.50400002,1311951.97,4747936.054,14937336.0,14388.227,615177.054,1113285.634,135949118.389,0.004525053647201699,0.008188987521158349,1311951.97,4747936.054,113824220.50400002,14937336.0,498108.57999999996,615177.054
Oklahoma,OK,Heartland,192385.37900000002,0.0,0.0,2271589.857,3762026.2,-116831.0,34200891.8,19608.751,34915887.577,0.0,0.0,2463975.236,6226001.436000001,75245558.564,0.03274578969208222,0.08274244426937817,19608.751,34915887.577,34200891.8,0.0,3762026.2,2463975.236
Oregon,OR,West,751004.489,0.0,0.0,3372283.5930000003,32717791.482,0.0,3196901.53,5656.627,15776934.283,0.0,41247.909,4123288.0820000004,36841079.564,55861819.91300002,0.07381227622769303,0.6595037473067797,5656.627,15776934.283,3196901.53,0.0,32717791.482,4123288.0820000004
Pennsylvania,PA,Mid Atlantic,2143017.0949999997,0.0,0.0,921136.644,2820836.024,-560345.0,104927414.53400001,930953.4980000001,29623748.279000003,76727686.0,842542.3049999999,3064153.7389999996,5884989.763,218376989.379,0.014031486319660108,0.02694876314457481,930953.4980000001,29623748.279000003,104927414.53400001,76727686.0,2820836.024,3064153.7389999996
Rhode Island,RI,New England,152776.313,0.0,0.0,0.0,6134.866,0.0,0.0,16262.021,7553278.043999999,0.0,0.0,152776.313,158911.179,7728451.244,0.019768037369532247,0.02056184013884684,16262.021,7553278.043999999,0.0,0.0,6134.866,152776.313
South Carolina,SC,Southeast,1733560.6859999998,0.0,0.0,0.0,2102246.633,-976443.0,35157226.783,523379.683,9402119.376,52149734.0,105354.11600000001,1733560.6859999998,3835807.3189999997,100197178.27699998,0.017301492076029195,0.038282588242113204,523379.683,9402119.376,35157226.783,52149734.0,2102246.633,1733560.6859999998
South Dakota,SD,Midwest,5774.833,0.0,0.0,392307.77499999997,4319205.046,0.0,3190912.908,10089.373000000001,122132.73199999999,0.0,31318.121,398082.60799999995,4717287.654,8071740.788000002,0.049318061426330315,0.5844201118317675,10089.373000000001,122132.73199999999,3190912.908,0.0,4319205.046,398082.60799999995
Tennessee,TN,Southeast,896430.522,0.0,0.0,51747.0,9482290.03,-649832.0,41634518.84599999,178150.758,410410.5129999999,26962001.0,787.795,948177.522,10430467.552,78966504.46399999,0.012007338154777565,0.1320872390489963,178150.758,410410.5129999999,41634518.84599999,26962001.0,9482290.03,948177.522
Texas,TX,Texas,1382742.694,0.0,0.0,19367238.862,1501345.366,0.0,139106596.94699997,1347315.2409999997,191652532.344,41497617.0,621766.458,20749981.555999998,22251326.922,396477154.91200006,0.0523358819012045,0.05612259532819434,1347315.2409999997,191652532.344,139106596.94699997,41497617.0,1501345.366,20749981.555999998
Utah,UT,West,29266.424,279121.0,0.0,64496.987,696991.166,0.0,35715483.67999999,50179.552,6424510.727000001,0.0,186747.928,372884.411,1069875.577,43446797.464,0.008582552288439025,0.02462495832717011,50179.552,6424510.727000001,35715483.67999999,0.0,696991.166,372884.411
Vermont,VT,New England,373142.927,0.0,0.0,11589.0,1663592.668,0.0,0.0,3577.181,4430.795,5360608.0,0.0,384731.927,2048324.5950000002,7416940.5709999995,0.051872052002720576,0.27616839792526904,3577.181,4430.795,0.0,5360608.0,1663592.668,384731.927
Virginia,VA,Mid Atlantic,2465738.0350000006,0.0,0.0,0.0,1414565.2,-1215619.0,26539392.176999997,1110820.991,12204842.725000001,28212252.0,427691.49,2465738.0350000006,3880303.2350000003,71159683.61799999,0.03465077287634662,0.0545295178071656,1110820.991,12204842.725000001,26539392.176999997,28212252.0,1414565.2,2465738.0350000006
Washington,WA,West,1437051.358,0.0,0.0,3538935.954,73932815.095,52383.0,7477772.768,47275.03500000001,11409482.411999999,6634014.0,63674.581,4975987.312,78908802.407,104593404.20300001,0.04757458034679089,0.7544338288660146,47275.03500000001,11409482.411999999,7477772.768,6634014.0,73932815.095,4975987.312
West Virginia,WV,Mid Atlantic,0.0,0.0,0.0,742439.0,1576275.162,0.0,68135763.73799999,170673.69500000007,149347.45,0.0,421.511,742439.0,2318714.162,70774920.55600001,0.010490142470913153,0.032761805224003585,170673.69500000007,149347.45,68135763.73799999,0.0,1576275.162,742439.0
Wisconsin,WI,Midwest,1251836.687,0.0,0.0,1059126.19,1605406.698,0.0,38330917.25399999,730117.1250000001,5601116.375999999,12683151.0,72991.811,2310962.877,3916369.575,61334663.141,0.03767792564030901,0.06385246733966407,730117.1250000001,5601116.375999999,38330917.25399999,12683151.0,1605406.698,2310962.877
Wyoming,WY,West,0.0,0.0,0.0,2213819.5519999997,853608.538,0.0,41756838.989,50086.806999999986,803579.066,0.0,0.0,2213819.5519999997,3067428.09,45677968.08200001,0.04846580627285792,0.06715333931871544,50121.93699999998,803579.066,41756838.989,0.0,853608.538,2213819.5519999997
