building,date,lbs_c02
Building 006,2014-11-01T04:00:00.000Z,11614.144400000001
Building 006,2014-12-01T05:00:00.000Z,10253.380000000001
Building 006,2015-01-01T05:00:00.000Z,3117.503089000004
Building 006,2015-02-01T05:00:00.000Z,2958.6173040000035
Building 006,2015-03-01T05:00:00.000Z,2968.7400390000016
Building 006,2015-04-01T04:00:00.000Z,2955.7039999999997
Building 006,2015-05-01T04:00:00.000Z,2961.8520000000008
Building 006,2015-06-01T04:00:00.000Z,3370.667076000009
Building 006,2015-07-01T04:00:00.000Z,3323.439518000004
Building 006,2015-08-01T04:00:00.000Z,3302.356065000005
Building 006,2015-09-01T04:00:00.000Z,2328.527440000002
Building 006,2015-10-01T04:00:00.000Z,2607.2769120000007
Building 006,2015-11-01T04:00:00.000Z,2411.349533000003
Building 006,2015-12-01T05:00:00.000Z,2286.2749390000035
Building 006,2016-01-01T05:00:00.000Z,2004.667495
Building 006,2016-02-01T05:00:00.000Z,1844.07723
Building 006,2016-03-01T05:00:00.000Z,2200.5547000000033
Building 006,2016-04-01T04:00:00.000Z,1778.6598070000002
Building 006,2016-05-01T04:00:00.000Z,1646.0396029999997
Building 006,2016-06-01T04:00:00.000Z,1529.5784100000008
Building 006,2016-07-01T04:00:00.000Z,1817.461849
Building 006,2016-08-01T04:00:00.000Z,1698.271474
Building 006,2016-09-01T04:00:00.000Z,1031.3734809999987
Building 006,2016-10-01T04:00:00.000Z,858.4861559999995
Building 006,2016-11-01T04:00:00.000Z,1067.5241979999994
Building 006,2016-12-01T05:00:00.000Z,1015.5689339999996
Building 006,2017-01-01T05:00:00.000Z,4396.35
Building 006,2017-02-01T05:00:00.000Z,5229.494364999993
Building 006,2017-03-01T05:00:00.000Z,4514.54
Building 006,2017-04-01T04:00:00.000Z,5271.91
Building 006,2017-05-01T04:00:00.000Z,4318.4400000000005
Building 006,2017-06-01T04:00:00.000Z,5157.43
Building 006,2017-07-01T04:00:00.000Z,5372.08
Building 006,2017-08-01T04:00:00.000Z,4226.75
Building 006,2017-09-01T04:00:00.000Z,3539.8700000000003
Building 006,2017-10-01T04:00:00.000Z,351.39000000000004
Building 006,2017-11-01T04:00:00.000Z,0
Building 006,2017-12-01T05:00:00.000Z,0
Building 006,2018-01-01T05:00:00.000Z,4762.05
Building 006,2018-02-01T05:00:00.000Z,0
Building 006,2018-05-01T04:00:00.000Z,1409.005
Building 006,2018-06-01T04:00:00.000Z,0
Building 006,2018-07-01T04:00:00.000Z,0
Building 006,2018-08-01T04:00:00.000Z,0
Building 006,2018-09-01T04:00:00.000Z,0
Building 006,2018-10-01T04:00:00.000Z,0
Building 006,2018-11-01T04:00:00.000Z,0
Building 006,2018-12-01T05:00:00.000Z,0
Building 006,2019-01-01T05:00:00.000Z,0
Building 006,2019-02-01T05:00:00.000Z,0
Building 006,2019-03-01T05:00:00.000Z,0
Building 006,2019-04-01T04:00:00.000Z,0
Building 006,2019-05-01T04:00:00.000Z,0
Building 006,2019-06-01T04:00:00.000Z,0
Building 006,2019-07-01T04:00:00.000Z,0
Building 006,2019-08-01T04:00:00.000Z,0
Building 006,2019-09-01T04:00:00.000Z,0
Pocomoke Building,2014-10-01T04:00:00.000Z,43223.228037878784
Pocomoke Building,2014-11-01T04:00:00.000Z,50358.45216666667
Pocomoke Building,2014-12-01T05:00:00.000Z,53579.39686538458
Pocomoke Building,2015-01-01T05:00:00.000Z,56441.54592925828
Pocomoke Building,2015-02-01T05:00:00.000Z,55729.41455952381
Pocomoke Building,2015-03-01T05:00:00.000Z,55176.128869971275
Pocomoke Building,2015-04-01T04:00:00.000Z,45304.50968762678
Pocomoke Building,2015-05-01T04:00:00.000Z,45870.958921568636
Pocomoke Building,2015-06-01T04:00:00.000Z,44230.06940860215
Pocomoke Building,2015-07-01T04:00:00.000Z,44637.27892473119
Pocomoke Building,2015-08-01T04:00:00.000Z,44358.45484848486
Pocomoke Building,2015-09-01T04:00:00.000Z,43369.37945259042
Pocomoke Building,2015-10-01T04:00:00.000Z,45875.40110122356
Pocomoke Building,2015-11-01T04:00:00.000Z,47938.67335038932
Pocomoke Building,2015-12-01T05:00:00.000Z,51047.99155034212
Pocomoke Building,2016-01-01T05:00:00.000Z,56503.602887445886
Pocomoke Building,2016-02-01T05:00:00.000Z,51404.73814285714
Pocomoke Building,2016-03-01T05:00:00.000Z,45261.585333333314
Pocomoke Building,2016-04-01T04:00:00.000Z,40211.653218390784
Pocomoke Building,2016-05-01T04:00:00.000Z,42278.877918864106
Pocomoke Building,2016-06-01T04:00:00.000Z,42197.98843850269
Pocomoke Building,2016-07-01T04:00:00.000Z,45467.17825974024
Pocomoke Building,2016-08-01T04:00:00.000Z,46599.67598486903
Pocomoke Building,2016-09-01T04:00:00.000Z,43815.02457043773
Pocomoke Building,2016-10-01T04:00:00.000Z,45296.05365111563
Pocomoke Building,2016-11-01T04:00:00.000Z,49407.93934248839
Pocomoke Building,2016-12-01T05:00:00.000Z,59606.2677065005
Pocomoke Building,2017-01-01T05:00:00.000Z,58855.233075757584
Pocomoke Building,2017-02-01T05:00:00.000Z,49159.51827880184
Pocomoke Building,2017-03-01T05:00:00.000Z,52861.85907834101
Pocomoke Building,2017-04-01T04:00:00.000Z,46245.89908643084
