name,area,built,renovated,longitude,latitude,image
Mfri Structural Firefighting Building,5701.29,1989,1970,-76.92828698,38.98363384,https://terpfootprints.umd.edu/images/buildings/mfri_structural_firefighting_building_196.png
Mfri Fire Extinguisher Training Fac.,1569.17,1990,1970,-76.92778272,38.98405149,https://terpfootprints.umd.edu/images/buildings/mfri_fire_extinguisher_training_fac_197.png
Mfri Breath Apparatus Training Bldg,5018,2008,1970,-76.92878195,38.98402337,https://terpfootprints.umd.edu/images/buildings/mfri_breath_apparatus_training_bldg_198.png
Mfri Office/classroom Building,45792.99,1955,2002,-76.92886068,38.98332918,https://terpfootprints.umd.edu/images/buildings/mfri_office_classroom_building_199.png
Leonardtown Office Building,12748,1961,1970,-76.93247179,38.98372481,https://terpfootprints.umd.edu/images/buildings/leonardtown_office_building_201.png
Regents Drive Parking Garage,533481.04,1988,1970,-76.94148049,38.98966674,https://terpfootprints.umd.edu/images/buildings/regents_drive_parking_garage_202.png
Residential Facilities Building 204,868.8,1985,1970,-76.93293568,38.9837852,https://terpfootprints.umd.edu/images/buildings/residential_facilities_building_204_204.png
Residential Facilities Building 207,733.3,1969,1970,-76.93284186,38.98367236,https://terpfootprints.umd.edu/images/buildings/residential_facilities_building_207_207.png
Plant Operations & Maint. Storage Bldg.2,504,1968,1970,-76.95367084,38.99745408,https://terpfootprints.umd.edu/images/buildings/plant_operations_maint_storage_bldg_2_213.png
Plant Operations & Maint. Storage Bldg.1,504,1968,1970,-76.95373704,38.99740241,https://terpfootprints.umd.edu/images/buildings/plant_operations_maint_storage_bldg_1_214.png
Stadium Drive Parking Garage,280413.39,1997,1970,-76.94868011,38.99109562,https://terpfootprints.umd.edu/images/buildings/stadium_drive_parking_garage_218.png
Astronomy Lecture Building,2012,1979,1970,-76.95563666,39.00202142,https://terpfootprints.umd.edu/images/buildings/astronomy_lecture_building_219.png
Astronomy Trailer,588,2000,1970,-76.95601586,39.00183727,https://terpfootprints.umd.edu/images/buildings/astronomy_trailer_220.png
Astronomical Observatory,1643.33,1964,1970,-76.95609183,39.00196481,https://terpfootprints.umd.edu/images/buildings/astronomical_observatory_221.png
Energy Research Facility,61159.9,1965,1970,-76.93681627,38.99194439,https://terpfootprints.umd.edu/images/buildings/energy_research_facility_223.png
Atlantic Building,240189.19,1963,1996,-76.94246089,38.99100402,https://terpfootprints.umd.edu/images/buildings/atlantic_building_224.png
Kim Engineering Building,167905.84,2005,1970,-76.93809687,38.99098607,https://terpfootprints.umd.edu/images/buildings/kim_engineering_building_225.png
Edward St. John Learning And Teaching Center,208509.95,2017,1970,-76.94174299,38.98708312,https://terpfootprints.umd.edu/images/buildings/edward_st_john_learning_and_teaching_center_226.png
Jull Hall,17574,1954,1970,-76.94360377,38.99086053,https://terpfootprints.umd.edu/images/buildings/jull_hall_227.png
Microbiology Building,88285.39,1939,1988,-76.94338562,38.98811416,https://terpfootprints.umd.edu/images/buildings/microbiology_building_231.png
Nyumburu Cultural Center,17891.87,1969,1982,-76.94390865,38.98812481,https://terpfootprints.umd.edu/images/buildings/nyumburu_cultural_center_232.png
Susquehanna Hall,53478.27,1991,1970,-76.94377603,38.98208755,https://terpfootprints.umd.edu/images/buildings/susquehanna_hall_233.png
Geology Building,22761.79,1969,1982,-76.94091065,38.98816089,https://terpfootprints.umd.edu/images/buildings/geology_building_237.png
Leonardtown 238,11448,1972,1970,-76.93302246,38.9828681,https://terpfootprints.umd.edu/images/buildings/leonardtown_238_238.png
Leonardtown 239,14197,1972,1970,-76.93290775,38.98258992,https://terpfootprints.umd.edu/images/buildings/leonardtown_239_239.png
Leonardtown 240,11448,1972,1970,-76.9325512,38.98269804,https://terpfootprints.umd.edu/images/buildings/leonardtown_240_240.png
Leonardtown 241,7099,1972,1970,-76.93228896,38.98256502,https://terpfootprints.umd.edu/images/buildings/leonardtown_241_241.png
Leonardtown 242,11488,1972,1970,-76.93204114,38.98271757,https://terpfootprints.umd.edu/images/buildings/leonardtown_242_242.png
Leonardtown 243,5724,1972,1970,-76.93207517,38.98294103,https://terpfootprints.umd.edu/images/buildings/leonardtown_243_243.png
Leonardtown 244,15654,1982,1970,-76.93377766,38.98481677,https://terpfootprints.umd.edu/images/buildings/leonardtown_244_244.png
Leonardtown 245,15654,1982,1970,-76.9333906,38.98459726,https://terpfootprints.umd.edu/images/buildings/leonardtown_245_245.png
Leonardtown 246,15654,1982,1970,-76.93355035,38.98430921,https://terpfootprints.umd.edu/images/buildings/leonardtown_246_246.png
Leonardtown 247,15654,1982,1970,-76.93310454,38.98424121,https://terpfootprints.umd.edu/images/buildings/leonardtown_247_247.png
Leonardtown 248,15654,1982,1970,-76.93342259,38.98393868,https://terpfootprints.umd.edu/images/buildings/leonardtown_248_248.png
Leonardtown 249,10436,1982,1970,-76.93322987,38.9836844,https://terpfootprints.umd.edu/images/buildings/leonardtown_249_249.png
Leonardtown Community Center,7280,1982,1970,-76.93349748,38.98336142,https://terpfootprints.umd.edu/images/buildings/leonardtown_community_center_250.png
Denton Area Dining Hall,44064.67,1964,2012,-76.94963748,38.99272983,https://terpfootprints.umd.edu/images/buildings/denton_area_dining_hall_251.png
Denton Hall,115108,1964,1970,-76.94997564,38.99224123,https://terpfootprints.umd.edu/images/buildings/denton_hall_252.png
Easton Hall,115533,1965,1970,-76.95024936,38.99300916,https://terpfootprints.umd.edu/images/buildings/easton_hall_253.png
Elkton Hall,114118,1966,1970,-76.94900328,38.99248179,https://terpfootprints.umd.edu/images/buildings/elkton_hall_254.png
School Of Public Health Building,240408.13,1973,2010,-76.94312978,38.99347315,https://terpfootprints.umd.edu/images/buildings/school_of_public_health_building_255.png
Ellicott Hall,118303,1967,1970,-76.94666558,38.99181914,https://terpfootprints.umd.edu/images/buildings/ellicott_hall_256.png
Ellicott Area Dining Hall,48280.12,1967,1999,-76.94660395,38.99246396,https://terpfootprints.umd.edu/images/buildings/ellicott_area_dining_hall_257.png
Hagerstown Hall,119561,1968,1970,-76.94742469,38.99242944,https://terpfootprints.umd.edu/images/buildings/hagerstown_hall_258.png
La Plata Hall,132943,1969,1970,-76.94590888,38.99244574,https://terpfootprints.umd.edu/images/buildings/la_plata_hall_259.png
North Gate (campus Drive & Route 1),122.2,1985,1970,-76.93650269,38.98857534,https://terpfootprints.umd.edu/images/buildings/north_gate_campus_drive_route_1_295.png
Biomolecular Sciences Building,39399.9,1991,1970,-76.93772941,38.99286665,https://terpfootprints.umd.edu/images/buildings/biomolecular_sciences_building_296.png
West Gate (perf Arts And Denton On Stadium Dr/193),78.01,1987,1970,-76.95046071,38.99198027,https://terpfootprints.umd.edu/images/buildings/west_gate_perf_arts_and_denton_on_stadium_dr_193_297.png
Paint Branch Gate (paint Branch Dr And 193),78.01,2001,1970,-76.94215699,38.99961611,https://terpfootprints.umd.edu/images/buildings/paint_branch_gate_paint_branch_dr_and_193_298.png
Gate House,332.5,1941,1970,-76.93574876,38.9886455,https://terpfootprints.umd.edu/images/buildings/gate_house_299.png
Indoor Practice Facility,20963.4,2001,1970,-76.95437565,38.98967883,https://terpfootprints.umd.edu/images/buildings/indoor_practice_facility_309.png
Golf Course Storage Building 1,200,1967,1970,-76.95283711,38.9973264,https://terpfootprints.umd.edu/images/buildings/golf_course_storage_building_1_313.png
Golf Course Repair Shop,2480.56,1960,1970,-76.95316309,38.99730826,https://terpfootprints.umd.edu/images/buildings/golf_course_repair_shop_314.png
Golf Course Toilet Facility,125.39,1963,1970,-76.95324224,38.99750287,https://terpfootprints.umd.edu/images/buildings/golf_course_toilet_facility_318.png
Golf Course Storage Building,979.39,1966,1970,-76.95341111,38.99755893,https://terpfootprints.umd.edu/images/buildings/golf_course_storage_building_319.png
Grounds Operations & Maintenance Bldg.,3157,1988,1970,-76.94292003,38.99553545,https://terpfootprints.umd.edu/images/buildings/grounds_operations_maintenance_bldg_328.png
Chesapeake Building,52555.32,1991,1970,-76.94213441,38.99823293,https://terpfootprints.umd.edu/images/buildings/chesapeake_building_338.png
Environmental Service Facility,7752.08,1985,1970,-76.94373274,38.9965013,https://terpfootprints.umd.edu/images/buildings/environmental_service_facility_344.png
Xfinity Center,484770.05,2002,1970,-76.9412213,38.99548989,https://terpfootprints.umd.edu/images/buildings/xfinity_center_360.png
Tyser Tower,81504.29,1991,2010,-76.94783785,38.98974624,https://terpfootprints.umd.edu/images/buildings/tyser_tower_361.png
Maryland Stadium Concessions 1,5544.94,1991,1970,-76.94720259,38.98937719,https://terpfootprints.umd.edu/images/buildings/maryland_stadium_concessions_1_362.png
